SerialNumber,Type,SubType,UnitID,FirmwareVersion,FileID,StartTime,DataState,HasGaps
1423112,UsbEnhanced,USB,BERN1,515,39,01.01.2022 11:11:11,Complete,False

OrganID,KidneySide,BloodType,CrossClampTime&Date,CrossClampTimezone,TotalIschemicTime,PerfusateLot,PerfusateExpirationDate,PerfusateUsed,Cannula,CannulaExpirationDate,CassetteLot#,CasetteExpirationDate
Test1,Right,A,,,,,,,,,,

SequentialRecordNumber,SerialNumber,FileID,InfuseTime,FlowRate,OrganResistance,IceContainerTemperature,InfuseTemperature,Error1,Error2,State,PressureSet,AveragePressure,DiastolicPressure,SystolicPressure,Checksum
00001,1423112,39,00:00:00,014,021,0012,0086,0000,0000,10,30,3,0,0,130
00002,1423112,39,00:00:10,010,050,0012,0085,0000,0000,10,30,5,1,4,130
00003,1423112,39,00:00:20,018,100,0012,0084,0000,0000,10,30,18,13,18,253
00004,1423112,39,00:00:30,022,090,0013,0084,0000,0000,10,30,20,17,24,251
00005,1423112,39,00:00:40,029,086,0012,0083,0000,0000,10,30,25,19,27,255
00006,1423112,39,00:00:50,028,089,0013,0084,0000,0000,10,30,25,22,28,242
00007,1423112,39,00:01:00,031,077,0012,0083,0000,0000,10,30,24,21,28,250
00008,1423112,39,00:01:10,031,083,0012,0083,0000,0000,10,30,26,21,30,244
00009,1423112,39,00:01:20,029,093,0012,0084,0000,0000,10,30,27,24,30,253
00010,1423112,39,00:01:30,030,086,0013,0083,0000,0000,10,30,26,23,29,240
00011,1423112,39,00:01:40,033,078,0013,0083,0000,0000,10,30,26,22,28,244
00012,1423112,39,00:01:50,040,057,0013,0083,0000,0000,10,30,23,17,27,243
00013,1423112,39,00:02:00,038,071,0012,0083,0000,0000,10,30,27,23,29,243
00014,1423112,39,00:02:10,043,055,0012,0082,0000,0000,10,30,24,20,28,255
00015,1423112,39,00:02:20,045,057,0013,0083,0000,0000,10,30,26,21,29,251
00016,1423112,39,00:02:30,044,061,0012,0083,0000,0000,10,30,27,24,30,240
00017,1423112,39,00:02:40,046,054,0012,0084,0000,0000,10,30,25,22,29,249
00018,1423112,39,00:02:50,046,058,0012,0084,0000,0000,10,30,27,24,29,255
00019,1423112,39,00:03:00,047,053,0013,0084,0000,0000,10,30,25,22,29,245
00020,1423112,39,00:03:10,052,050,0013,0084,0000,0000,10,30,26,22,29,250
00021,1423112,39,00:03:20,051,052,0013,0083,0000,0000,10,30,27,24,29,249
00022,1423112,39,00:03:30,054,044,0012,0084,0000,0000,10,30,24,20,28,249
00023,1423112,39,00:03:40,057,047,0012,0083,0000,0000,10,30,27,23,29,249
00024,1423112,39,00:03:50,053,050,0012,0084,0000,0000,10,30,27,24,30,245
00025,1423112,39,00:04:00,060,040,0012,0084,0000,0000,10,30,24,19,28,243
00026,1423112,39,00:04:10,055,049,0012,0083,0000,0000,10,30,27,24,30,253
00027,1423112,39,00:04:20,055,049,0013,0084,0000,0000,10,30,27,24,30,249
00028,1423112,39,00:04:30,055,049,0013,0083,0000,0000,10,30,27,24,30,240
00029,1423112,39,00:04:40,055,047,0012,0082,0000,0000,10,30,26,24,30,249
00030,1423112,39,00:04:50,057,045,0012,0083,0000,0000,10,30,26,23,29,254
00031,1423112,39,00:05:00,062,040,0013,0082,0000,0000,10,30,26,21,28,251
00032,1423112,39,00:05:10,060,045,0012,0082,0000,0000,10,30,27,25,30,243
00033,1423112,39,00:05:20,068,036,0013,0081,0000,0000,10,30,25,19,28,251
00034,1423112,39,00:05:30,056,048,0012,0080,0000,0000,10,30,27,24,31,253
00035,1423112,39,00:05:40,060,045,0012,0081,0000,0000,90,30,27,24,30,251
00036,1423112,39,00:05:50,062,040,0012,0081,0000,0000,90,30,25,22,29,242
00037,1423112,39,00:06:00,070,035,0012,0080,0000,0000,90,30,25,20,28,246
00038,1423112,39,00:06:10,066,040,0012,0081,0000,0000,90,30,27,24,30,243
00039,1423112,39,00:06:20,065,041,0011,0080,0000,0000,90,30,27,24,30,241
00040,1423112,39,00:06:30,072,034,0012,0080,0000,0000,90,30,25,20,28,246
00041,1423112,39,00:06:40,067,040,0012,0079,0000,0000,90,30,27,24,30,254
00042,1423112,39,00:06:50,072,034,0012,0079,0000,0000,90,30,25,21,29,244
00043,1423112,39,00:07:00,068,039,0012,0078,0000,0000,90,30,27,24,30,249
00044,1423112,39,00:07:10,075,032,0011,0077,0000,0000,90,30,24,18,28,241
00045,1423112,39,00:07:20,075,034,0011,0077,0000,0000,90,30,26,22,30,247
00046,1423112,39,00:07:30,079,031,0012,0077,0000,0000,90,30,25,19,29,252
00047,1423112,39,00:07:40,081,030,0011,0077,0000,0000,90,30,25,19,29,255
00048,1423112,39,00:07:50,074,037,0011,0076,0000,0000,90,30,28,25,31,246
00049,1423112,39,00:08:00,072,037,0011,0076,0000,0000,90,30,27,24,30,244
00050,1423112,39,00:08:10,073,036,0012,0076,0000,0000,90,30,27,24,30,254
00051,1423112,39,00:08:20,071,038,0011,0076,0000,0000,90,30,27,24,30,243
00052,1423112,39,00:08:30,073,036,0011,0076,0000,0000,90,30,27,24,30,253
