SerialNumber,Type,SubType,UnitID,FirmwareVersion,FileID,StartTime,DataState,HasGaps
1330515,UsbEnhanced,USB,ZH2,513,91,01.01.2022 11:11:11,Complete,False

OrganID,KidneySide,BloodType,CrossClampTime&Date,CrossClampTimezone,TotalIschemicTime,PerfusateLot,PerfusateExpirationDate,PerfusateUsed,Cannula,CannulaExpirationDate,CassetteLot#,CasetteExpirationDate
Test2,Left,O,,,,,,,,,,

SequentialRecordNumber,SerialNumber,FileID,InfuseTime,FlowRate,OrganResistance,IceContainerTemperature,InfuseTemperature,Error1,Error2,State,PressureSet,AveragePressure,DiastolicPressure,SystolicPressure,Checksum
00001,1330515,91,00:00:00,010,000,0026,0172,0000,0000,10,30,0,0,0,143
00002,1330515,91,00:00:00,001,000,0026,0166,0000,0000,02,30,0,0,0,138
00003,1330515,91,00:00:00,000,000,0026,0164,0000,0000,02,30,1,0,0,137
00004,1330515,91,00:00:00,000,000,0026,0164,0000,0000,02,30,0,0,0,143
00005,1330515,91,00:00:00,000,000,0026,0164,0000,0000,02,30,0,0,0,142
00006,1330515,91,00:00:00,000,000,0025,0165,0000,0000,02,30,0,0,0,143
00007,1330515,91,00:00:00,000,000,0024,0164,0000,0000,02,30,3,0,0,141
00008,1330515,91,00:00:00,010,000,0024,0162,0000,0000,02,30,0,0,0,134
00009,1330515,91,00:00:00,005,000,0023,0163,0000,0000,08,30,0,0,0,143
00010,1330515,91,00:00:00,098,006,0023,0162,0000,0000,08,30,6,0,0,130
00011,1330515,91,00:00:10,002,350,0022,0159,0000,0000,10,30,7,3,6,133
00012,1330515,91,00:00:20,010,120,0021,0158,0000,0000,10,30,12,12,13,243
00013,1330515,91,00:00:30,021,080,0021,0159,0000,0000,10,30,17,14,17,252
00014,1330515,91,00:00:40,029,075,0021,0159,0000,0000,10,30,22,20,23,248
00015,1330515,91,00:00:50,033,072,0020,0159,0000,0000,10,30,24,22,25,247
00016,1330515,91,00:01:00,042,061,0020,0158,0000,0000,10,30,26,23,26,245
00017,1330515,91,00:01:10,043,060,0019,0157,0000,0000,10,30,26,24,28,249
00018,1330515,91,00:01:20,042,066,0019,0156,0000,0000,10,30,28,26,29,254
00019,1330515,91,00:01:30,045,060,0019,0156,0000,0000,10,30,27,25,29,243
00020,1330515,91,00:01:40,049,055,0019,0155,0000,0000,10,30,27,25,28,246
00021,1330515,91,00:01:50,051,052,0019,0154,0000,0000,10,30,27,25,29,248
00022,1330515,91,00:02:00,051,052,0019,0154,0000,0000,10,30,27,25,29,253
00023,1330515,91,00:02:10,054,050,0018,0154,0000,0000,10,30,27,25,29,251
00024,1330515,91,00:02:20,054,050,0018,0153,0000,0000,10,30,28,25,29,247
00025,1330515,91,00:02:30,055,050,0018,0151,0000,0000,10,30,28,27,30,254
00026,1330515,91,00:02:40,054,051,0018,0151,0000,0000,10,30,28,26,29,243
00027,1330515,91,00:02:50,056,048,0018,0151,0000,0000,10,30,27,26,30,254
00028,1330515,91,00:03:00,056,048,0018,0151,0000,0000,10,30,27,26,29,253
00029,1330515,91,00:03:10,057,047,0018,0150,0000,0000,10,30,27,25,29,241
00030,1330515,91,00:03:20,058,046,0018,0150,0000,0000,10,30,27,26,29,247
00031,1330515,91,00:03:30,060,045,0018,0149,0000,0000,10,30,27,25,29,244
00032,1330515,91,00:03:40,060,045,0018,0149,0000,0000,10,30,27,25,29,240
00033,1330515,91,00:03:50,058,048,0018,0148,0000,0000,10,30,28,26,30,243
00034,1330515,91,00:04:00,059,047,0018,0148,0000,0000,10,30,28,27,30,249
00035,1330515,91,00:04:10,059,047,0018,0149,0000,0000,10,30,28,27,30,248
00036,1330515,91,00:04:20,060,045,0018,0148,0000,0000,10,30,27,26,29,247
00037,1330515,91,00:04:30,063,044,0018,0148,0000,0000,10,30,28,25,29,249
00038,1330515,91,00:04:40,060,045,0018,0147,0000,0000,10,30,27,26,30,248
00039,1330515,91,00:04:50,065,041,0018,0148,0000,0000,10,30,27,25,29,253
00040,1330515,91,00:05:00,065,041,0018,0146,0000,0000,10,30,27,25,29,249
00041,1330515,91,00:05:10,065,043,0018,0147,0000,0000,10,30,28,25,30,253
00042,1330515,91,00:05:20,065,041,0017,0147,0000,0000,10,30,27,26,29,244
00043,1330515,91,00:05:30,067,041,0018,0145,0000,0000,10,30,28,26,29,244
00044,1330515,91,00:05:40,067,041,0017,0146,0000,0000,10,30,28,26,30,240
00045,1330515,91,00:05:50,068,041,0017,0145,0000,0000,10,30,28,26,29,244
00046,1330515,91,00:06:00,071,038,0017,0145,0000,0000,10,30,27,25,29,251
00047,1330515,91,00:06:10,070,038,0017,0145,0000,0000,10,30,27,26,29,249
00048,1330515,91,00:06:20,070,038,0017,0146,0000,0000,10,30,27,26,29,246
00049,1330515,91,00:06:30,071,038,0017,0145,0000,0000,10,30,27,26,29,244
00050,1330515,91,00:06:40,073,036,0017,0146,0000,0000,10,30,27,26,29,244
00051,1330515,91,00:06:50,073,036,0017,0145,0000,0000,90,30,27,26,29,255
00052,1330515,91,00:07:00,075,036,0017,0145,0000,0000,90,30,27,26,29,254
00053,1330515,91,00:07:10,077,036,0017,0145,0000,0000,90,30,28,26,29,243
00054,1330515,91,00:07:20,077,035,0017,0145,0000,0000,90,30,27,26,30,243
00055,1330515,91,00:07:30,077,036,0017,0145,0000,0000,90,30,28,26,29,247
00056,1330515,91,00:07:40,077,035,0017,0145,0000,0000,90,30,27,26,30,247
00057,1330515,91,00:07:50,079,034,0017,0144,0000,0000,90,30,27,25,29,242
00058,1330515,91,00:08:00,081,033,0017,0145,0000,0000,90,30,27,25,29,246
00059,1330515,91,00:08:10,083,032,0017,0145,0000,0000,90,30,27,26,29,246
00060,1330515,91,00:08:20,083,033,0017,0145,0000,0000,90,30,28,26,29,241
00061,1330515,91,00:08:30,084,032,0017,0145,0000,0000,90,30,27,26,30,240
00062,1330515,91,00:08:40,085,031,0017,0145,0000,0000,90,30,27,26,29,254
00063,1330515,91,00:08:50,085,031,0017,0145,0000,0000,90,30,27,26,29,254
00064,1330515,91,00:09:00,087,032,0017,0145,0000,0000,90,30,27,26,29,252
00065,1330515,91,00:09:10,087,032,0017,0145,0000,0000,90,30,28,26,29,243
00066,1330515,91,00:09:20,087,032,0017,0144,0000,0000,90,30,28,26,30,250
00067,1330515,91,00:09:30,088,031,0017,0144,0000,0000,90,30,28,26,29,254
00068,1330515,91,00:09:40,088,031,0017,0145,0000,0000,90,30,28,26,29,247
00069,1330515,91,00:09:50,088,031,0017,0145,0000,0000,90,30,28,26,30,255
00070,1330515,91,00:10:00,089,030,0017,0144,0000,0000,90,30,27,26,29,252
00071,1330515,91,00:10:00,112,011,0017,0144,0000,0000,B0,30,12,11,12,140
00072,1330515,91,00:10:00,000,000,0017,0143,0000,0000,90,30,0,0,0,131
00073,1330515,91,00:10:10,010,060,0017,0144,0000,0000,90,30,6,3,5,131
00074,1330515,91,00:10:20,030,040,0016,0145,0000,0000,90,30,12,9,12,137
00075,1330515,91,00:10:30,050,034,0017,0145,0000,0000,90,30,17,15,18,250
00076,1330515,91,00:10:40,065,032,0017,0145,0000,0000,90,30,21,18,23,254
00077,1330515,91,00:10:50,074,032,0017,0145,0000,0000,90,30,24,21,25,247
00078,1330515,91,00:11:00,083,030,0016,0145,0000,0000,90,30,25,23,27,246
00079,1330515,91,00:11:10,088,029,0017,0145,0000,0000,90,30,26,24,28,255
00080,1330515,91,00:11:20,091,029,0016,0145,0000,0000,90,30,27,25,29,242
00081,1330515,91,00:11:30,095,028,0017,0145,0000,0000,90,30,27,25,28,247
00082,1330515,91,00:11:40,096,028,0017,0144,0000,0000,90,30,27,26,29,243
00083,1330515,91,00:11:50,099,027,0017,0144,0000,0000,90,30,27,26,29,243
00084,1330515,91,00:12:00,098,028,0017,0143,0000,0000,90,30,28,26,30,252
00085,1330515,91,00:12:10,099,028,0017,0144,0000,0000,90,30,28,27,30,251
00086,1330515,91,00:12:20,099,028,0017,0143,0000,0000,90,30,28,27,30,252
00087,1330515,91,00:12:30,099,028,0017,0142,0000,0000,90,30,28,27,30,253
00088,1330515,91,00:12:40,099,028,0016,0142,0000,0000,90,30,28,27,30,244
00089,1330515,91,00:12:50,099,028,0016,0143,0000,0000,90,30,28,26,30,244
00090,1330515,91,00:13:00,098,027,0017,0143,0000,0000,90,30,27,26,29,240
00091,1330515,91,00:13:10,099,028,0017,0142,0000,0000,90,30,28,26,29,240
00092,1330515,91,00:13:20,099,028,0017,0142,0000,0000,90,30,28,27,29,241
00093,1330515,91,00:13:30,098,028,0017,0142,0000,0000,90,30,28,27,30,248
00094,1330515,91,00:13:40,099,028,0017,0142,0000,0000,90,30,28,26,29,240
00095,1330515,91,00:13:50,098,028,0017,0142,0000,0000,90,30,28,26,29,241
00096,1330515,91,00:14:00,101,027,0017,0142,0000,0000,90,30,28,27,29,255
00097,1330515,91,00:14:10,103,027,0016,0141,0000,0000,90,30,28,26,29,254
00098,1330515,91,00:14:20,104,026,0016,0141,0000,0000,90,30,28,26,29,244
00099,1330515,91,00:14:30,107,026,0017,0140,0000,0000,90,30,28,27,29,246
00100,1330515,91,00:14:40,107,026,0017,0142,0000,0000,90,30,28,27,30,250
00101,1330515,91,00:14:50,107,026,0017,0141,0000,0000,90,30,28,27,30,249
00102,1330515,91,00:15:00,107,026,0017,0141,0000,0000,90,30,28,27,30,254
00103,1330515,91,00:15:10,105,026,0017,0141,0000,0000,90,30,28,27,30,252
00104,1330515,91,00:15:20,107,026,0017,0141,0000,0000,90,30,28,26,29,243
00105,1330515,91,00:15:30,107,026,0017,0140,0000,0000,90,30,28,27,30,251
00106,1330515,91,00:15:40,107,026,0017,0139,0000,0000,90,30,28,27,30,241
00107,1330515,91,00:15:50,107,026,0017,0140,0000,0000,90,30,28,27,29,247
00108,1330515,91,00:16:00,108,025,0017,0140,0000,0000,90,30,28,27,29,242
00109,1330515,91,00:16:10,108,025,0017,0141,0000,0000,90,30,28,27,29,243
00110,1330515,91,00:16:20,108,025,0017,0141,0000,0000,90,30,28,27,30,240
00111,1330515,91,00:16:30,108,025,0017,0140,0000,0000,90,30,28,27,30,241
00112,1330515,91,00:16:40,108,025,0017,0140,0000,0000,90,30,28,27,30,245
00113,1330515,91,00:16:50,109,025,0017,0140,0000,0000,90,30,28,27,29,252
00114,1330515,91,00:17:00,109,025,0017,0139,0000,0000,90,30,28,27,29,241
00115,1330515,91,00:17:10,111,025,0017,0139,0000,0000,90,30,28,27,30,240
00116,1330515,91,00:17:20,113,024,0017,0139,0000,0000,90,30,28,27,29,251
00117,1330515,91,00:17:30,113,024,0017,0140,0000,0000,90,30,28,27,29,245
00118,1330515,91,00:17:40,113,024,0017,0138,0000,0000,90,30,28,27,30,250
00119,1330515,91,00:17:50,114,024,0017,0139,0000,0000,90,30,28,27,29,244
00120,1330515,91,00:18:00,112,025,0017,0139,0000,0000,90,30,28,28,30,244
00121,1330515,91,00:18:10,113,024,0016,0139,0000,0000,90,30,28,27,30,250
00122,1330515,91,00:18:20,113,024,0016,0139,0000,0000,90,30,28,27,30,250
00123,1330515,91,00:18:30,113,024,0017,0138,0000,0000,90,30,28,27,29,242
00124,1330515,91,00:18:40,114,024,0017,0138,0000,0000,90,30,28,27,29,245
00125,1330515,91,00:18:50,114,024,0017,0138,0000,0000,90,30,28,27,29,245
00126,1330515,91,00:19:00,113,024,0017,0138,0000,0000,90,30,28,27,30,253
00127,1330515,91,00:19:10,116,024,0017,0138,0000,0000,90,30,28,27,29,240
00128,1330515,91,00:19:20,117,024,0017,0138,0000,0000,90,30,29,28,30,251
00129,1330515,91,00:19:30,116,024,0017,0138,0000,0000,90,30,28,28,30,251
00130,1330515,91,00:19:40,116,024,0017,0137,0000,0000,90,30,28,27,29,252
00131,1330515,91,00:19:50,117,024,0017,0138,0000,0000,90,30,29,28,30,244
00132,1330515,91,00:20:00,117,023,0017,0137,0000,0000,B0,30,27,25,27,142
00133,1330515,91,00:20:00,139,000,0017,0137,0000,0000,B0,30,0,0,0,247
00134,1330515,91,00:20:10,004,050,0017,0138,0000,0000,90,30,2,1,2,142
00135,1330515,91,00:20:20,022,031,0017,0138,0000,0000,90,30,8,5,7,132
00136,1330515,91,00:20:30,043,032,0017,0139,0000,0000,90,30,14,10,14,250
00137,1330515,91,00:20:40,065,027,0017,0138,0000,0000,90,30,18,15,20,243
00138,1330515,91,00:20:50,083,024,0017,0138,0000,0000,90,30,21,17,23,253
00139,1330515,91,00:21:00,097,023,0017,0138,0000,0000,90,30,24,21,25,252
00140,1330515,91,00:21:10,107,024,0017,0137,0000,0000,90,30,26,24,27,246
00141,1330515,91,00:21:20,111,024,0017,0137,0000,0000,90,30,27,26,28,255
00142,1330515,91,00:21:30,116,023,0017,0136,0000,0000,90,30,27,26,28,252
