SerialNumber,Type,SubType,UnitID,FirmwareVersion,FileID,StartTime,DataState,HasGaps
1423111,UsbEnhanced,USB,,515,52,01.01.1963 03:03:03,Complete,False

OrganID,KidneySide,BloodType,CrossClampTime&Date,CrossClampTimezone,TotalIschemicTime,PerfusateLot,PerfusateExpirationDate,PerfusateUsed,Cannula,CannulaExpirationDate,CassetteLot#,CasetteExpirationDate
Anonymous,NA,N/A,,,,,,,,,,

SequentialRecordNumber,SerialNumber,FileID,InfuseTime,FlowRate,OrganResistance,IceContainerTemperature,InfuseTemperature,Error1,Error2,State,PressureSet,AveragePressure,DiastolicPressure,SystolicPressure,Checksum
00001,1423111,52,00:00:00,000,000,0034,0113,0000,0000,10,30,1,0,0,129
00002,1423111,52,00:00:10,017,011,0034,0105,0000,0000,10,30,2,0,1,128
00003,1423111,52,00:00:20,052,023,0034,0102,0000,0000,10,30,13,7,11,132
00004,1423111,52,00:00:30,067,031,0033,0099,0000,0000,10,30,21,16,22,247
00005,1423111,52,00:00:40,071,033,0033,0096,0000,0000,10,30,24,21,27,255
00006,1423111,52,00:00:50,079,031,0033,0092,0000,0000,10,30,25,22,27,241
00007,1423111,52,00:01:00,083,030,0034,0090,0000,0000,10,30,25,23,28,251
00008,1423111,52,00:01:00,137,013,0033,0086,0000,0000,30,30,16,13,16,247
00009,1423111,52,00:01:00,206,000,0034,0077,0000,0000,30,30,0,0,0,140
00010,1423111,52,00:01:10,013,015,0033,0074,0000,0000,10,30,2,0,2,129
00011,1423111,52,00:01:20,045,020,0034,0073,0000,0000,10,30,10,5,9,248
00012,1423111,52,00:01:30,066,027,0034,0073,0000,0000,10,30,19,15,20,254
00013,1423111,52,00:01:40,079,027,0035,0074,0000,0000,10,30,22,19,24,240
00014,1423111,52,00:01:50,087,031,0034,0074,0000,0000,10,30,27,23,29,240
00015,1423111,52,00:02:00,081,032,0034,0074,0000,0000,10,30,26,24,29,244
00016,1423111,52,00:02:10,086,030,0034,0074,0000,0000,10,30,26,24,29,243
00017,1423111,52,00:02:20,090,030,0034,0074,0000,0000,10,30,27,24,29,247
00018,1423111,52,00:02:30,089,030,0034,0074,0000,0000,10,30,27,24,29,241
00019,1423111,52,00:02:40,090,028,0034,0075,0000,0000,10,30,26,23,29,241
00020,1423111,52,00:02:50,093,029,0034,0076,0000,0000,10,30,27,24,29,253
00021,1423111,52,00:03:00,094,028,0034,0075,0000,0000,10,30,27,25,29,252
00022,1423111,52,00:03:10,097,025,0035,0076,0000,0000,10,30,25,21,28,245
00023,1423111,52,00:03:20,102,026,0034,0077,0000,0000,90,30,27,24,29,247
00024,1423111,52,00:03:30,099,027,0033,0077,0000,0000,90,30,27,24,29,244
00025,1423111,52,00:03:40,100,027,0035,0076,0000,0000,90,30,27,25,30,253
00026,1423111,52,00:03:50,099,025,0034,0076,0000,0000,90,30,25,22,28,241
00027,1423111,52,00:04:00,102,024,0034,0075,0000,0000,90,30,24,22,28,242
00028,1423111,52,00:04:10,101,025,0034,0076,0000,0000,90,30,26,23,27,241
00029,1423111,52,00:04:20,108,024,0033,0076,0000,0000,90,30,26,23,28,243
00030,1423111,52,00:04:30,111,023,0033,0075,0000,0000,90,30,26,24,29,240
00031,1423111,52,00:04:40,114,023,0033,0076,0000,0000,90,30,27,25,29,240
00032,1423111,52,00:04:50,118,022,0033,0075,0000,0000,90,30,26,24,29,252
00033,1423111,52,00:05:00,119,022,0034,0075,0000,0000,90,30,27,25,29,255
00034,1423111,52,00:05:10,120,022,0034,0073,0000,0000,90,30,27,25,29,245
00035,1423111,52,00:05:20,124,021,0034,0073,0000,0000,90,30,27,25,29,240
